fold,roc_auc,accuracy,f1_macro
1,0.9998909521435693,0.9984189723320158,0.9967310296352191
2,0.9999948316674074,0.9984189723320158,0.9967310296352191
3,0.9999896049355766,0.9992088607594937,0.9983536843476278
4,0.9998544690980723,0.9968354430379747,0.9934303192844038
5,1.0,0.9992088607594937,0.9983536843476278
