fold,roc_auc,accuracy,f1_macro
1,0.9764975905616485,0.9422924901185771,0.8857293116782676
2,0.969785927664017,0.9407114624505929,0.8815526804987335
3,0.9821464768527903,0.942246835443038,0.8831252889505317
4,0.9784874141757494,0.9390822784810127,0.8755853030920877
5,0.9789240068815327,0.9462025316455697,0.8942389565645379
