gene,weight
CST1,4.0
CST4,3.0
CPA1,3.0
IBSP,2.0
LRRC3B,2.0
PGA5,2.0
PGA3,1.0
CSN1S1,1.0
FEZF2,1.0
COL10A1,1.0
ACSM2A,1.0
MMP11,1.0
TRPM3,1.0
TBC1D3H,1.0
KIAA0408,1.0
CAPN11,1.0
FTMT,1.0
