gene,gain
CPA1,566.412841796875
FTMT,505.0119323730469
PGA5,317.10052490234375
PGA3,313.113037109375
ACSM2A,271.41925048828125
FEZF2,235.68057250976562
CST4,158.1414337158203
CST1,156.41012573242188
IBSP,123.8045654296875
TBC1D3H,94.18791198730469
CSN1S1,67.35485076904297
COL10A1,40.620391845703125
KIAA0408,28.78289794921875
LRRC3B,20.301368713378906
MMP11,18.709426879882812
CAPN11,8.691757202148438
TRPM3,7.080291748046875
