model,accuracy,roc_auc,tumor_recall,normal_recall,macro_f1,threshold
Baseline XGB (all features),0.9691699604743083,0.9962092888002658,0.9641544117647058,1.0,0.9412567378825277,0.5
"Refined XGB (top-30, t=0.50)",0.9691699604743083,0.9962092888002658,0.9641544117647058,1.0,0.9412567378825277,0.5
"Refined XGB (top-30, t=0.50 tuned)",0.9691699604743083,0.9962092888002658,0.9641544117647058,1.0,0.9412567378825277,0.5
