gene,cover
FTMT,346.8526611328125
CPA1,345.5625
PGA3,319.3504333496094
PGA5,312.4169921875
ACSM2A,308.21392822265625
FEZF2,296.7779541015625
CST1,225.43930053710938
CST4,210.4295654296875
IBSP,197.88189697265625
TBC1D3H,179.30125427246094
CSN1S1,146.7305450439453
KIAA0408,135.85525512695312
COL10A1,127.90602111816406
LRRC3B,119.6080322265625
TRPM3,116.837646484375
CAPN11,112.53043365478516
MMP11,112.01154327392578
