threshold,accuracy,tumor_recall,normal_recall,macro_f1
0.22,0.9296442687747035,1.0,0.4971751412429379,0.8124286725811154
0.23,0.9296442687747035,1.0,0.4971751412429379,0.8124286725811154
0.24,0.9304347826086956,1.0,0.5028248587570622,0.8151518371901485
0.25,0.9486166007905138,1.0,0.632768361581921,0.8730407983336653
0.26,0.950197628458498,1.0,0.6440677966101694,0.8776837966139155
0.27,0.9541501976284585,0.9990808823529411,0.6779661016949152,0.8896917322171706
0.28,0.966798418972332,0.9990808823529411,0.768361581920904,0.9236444848122514
0.29,0.966798418972332,0.9990808823529411,0.768361581920904,0.9236444848122514
0.3,0.9683794466403162,0.9981617647058824,0.7853107344632768,0.9280653269189214
0.31,0.9652173913043478,0.9926470588235294,0.7966101694915254,0.9225334862436396
0.32,0.966798418972332,0.9926470588235294,0.807909604519774,0.9264388250149531
0.33,0.9683794466403162,0.9926470588235294,0.8192090395480226,0.9303030303030303
0.34,0.9699604743083003,0.9889705882352942,0.8531073446327684,0.9354418479720655
0.35,0.9691699604743083,0.9871323529411765,0.8587570621468926,0.9342323643155087
0.36,0.9691699604743083,0.9871323529411765,0.8587570621468926,0.9342323643155087
0.37,0.974703557312253,0.9871323529411765,0.8983050847457628,0.9469462647444299
0.38,0.974703557312253,0.984375,0.9152542372881356,0.9476964741635054
0.39,0.9731225296442688,0.9816176470588235,0.9209039548022598,0.9449436763952893
0.4,0.9731225296442688,0.9806985294117647,0.9265536723163842,0.945197345619865
0.41,0.9739130434782609,0.9779411764705882,0.9491525423728814,0.947649198842752
0.42,0.9739130434782609,0.9779411764705882,0.9491525423728814,0.947649198842752
0.43,0.9715415019762846,0.9733455882352942,0.96045197740113,0.9437711136134653
0.44,0.9715415019762846,0.9724264705882353,0.9661016949152542,0.9440166401132943
0.45,0.9699604743083003,0.9705882352941176,0.9661016949152542,0.9411627906976745
0.46,0.9699604743083003,0.9705882352941176,0.9661016949152542,0.9411627906976745
0.47,0.9699604743083003,0.9705882352941176,0.9661016949152542,0.9411627906976745
0.48,0.9660079051383399,0.9659926470588235,0.9661016949152542,0.9341325341325342
0.49,0.9644268774703557,0.9641544117647058,0.9661016949152542,0.9313611650696155
0.5,0.9691699604743083,0.9641544117647058,1.0,0.9412567378825277
0.51,0.9565217391304348,0.9494485294117647,1.0,0.9197972539133061
0.52,0.9541501976284585,0.9466911764705882,1.0,0.915919488068062
0.53,0.9383399209486166,0.9283088235294118,1.0,0.8911330897150725
0.54,0.9335968379446641,0.9227941176470589,1.0,0.8840331072055319
0.55,0.932806324110672,0.921875,1.0,0.882863862807193
0.56,0.9304347826086956,0.9191176470588235,1.0,0.8793796917529169
0.57,0.9304347826086956,0.9191176470588235,1.0,0.8793796917529169
0.58,0.924901185770751,0.9126838235294118,1.0,0.871383789487879
0.59,0.9233201581027668,0.9108455882352942,1.0,0.8691326740107228
0.6,0.9193675889328063,0.90625,1.0,0.8635677308024159
0.61,0.7928853754940711,0.7591911764705882,1.0,0.7188946111359904
0.62,0.7873517786561265,0.7527573529411765,1.0,0.7135795215902214
0.63,0.7818181818181819,0.7463235294117647,1.0,0.7083208020050125
0.64,0.7747035573122529,0.7380514705882353,1.0,0.7016383511717228
0.65,0.7715415019762846,0.734375,1.0,0.6986955851652585
0.66,0.7691699604743083,0.7316176470588235,1.0,0.6964991159051619
0.67,0.766798418972332,0.7288602941176471,1.0,0.6943115364167995
0.68,0.7620553359683795,0.7233455882352942,1.0,0.6899623409669211
0.69,0.758893280632411,0.7196691176470589,1.0,0.6870815554721088
0.7,0.7462450592885376,0.7049632352941176,1.0,0.6756993111710092
0.71,0.7422924901185771,0.7003676470588235,1.0,0.6721860095389507
0.72,0.7328063241106719,0.6893382352941176,1.0,0.663832577506337
0.73,0.7312252964426877,0.6875,1.0,0.6624506350731134
0.74,0.7201581027667984,0.6746323529411765,1.0,0.652854006586169
0.75,0.7067193675889328,0.6590073529411765,1.0,0.6413678479319896
0.76,0.7027667984189724,0.6544117647058824,1.0,0.6380213089802131
0.77,0.6909090909090909,0.640625,1.0,0.6280600830936401
0.78,0.675098814229249,0.6222426470588235,1.0,0.614941954118758
0.79,0.5802371541501976,0.5119485294117647,1.0,0.5386018237082066
