threshold,accuracy,tumor_recall,normal_recall,macro_f1
0.1,0.8561264822134388,0.9944852941176471,0.005649717514124294,0.46664535379369143
0.11,0.8561264822134388,0.9944852941176471,0.005649717514124294,0.46664535379369143
0.12,0.8553359683794466,0.9935661764705882,0.005649717514124294,0.466386215639947
0.13,0.8553359683794466,0.9935661764705882,0.005649717514124294,0.466386215639947
0.14,0.8553359683794466,0.9935661764705882,0.005649717514124294,0.466386215639947
0.15,0.8545454545454545,0.9926470588235294,0.005649717514124294,0.46612719732834235
0.16,0.8553359683794466,0.9926470588235294,0.011299435028248588,0.47164269036679973
0.17,0.8553359683794466,0.9926470588235294,0.011299435028248588,0.47164269036679973
0.18,0.8553359683794466,0.9917279411764706,0.01694915254237288,0.4767871551297438
0.19,0.8553359683794466,0.9908088235294118,0.022598870056497175,0.48182312663262816
0.2,0.8561264822134388,0.9908088235294118,0.02824858757062147,0.48711951097804396
0.21,0.8569169960474309,0.9908088235294118,0.03389830508474576,0.49236322196873455
0.22,0.8584980237154151,0.9908088235294118,0.04519774011299435,0.5026958765716796
0.23,0.8592885375494071,0.9898897058823529,0.05649717514124294,0.5123403849818944
0.24,0.8608695652173913,0.9889705882352942,0.07344632768361582,0.526555748358341
0.25,0.8616600790513834,0.9889705882352942,0.07909604519774012,0.5313634544996517
0.26,0.8608695652173913,0.9871323529411765,0.0847457627118644,0.5349497852714603
0.27,0.8616600790513834,0.9871323529411765,0.0903954802259887,0.5396278758310613
0.28,0.8608695652173913,0.9862132352941176,0.0903954802259887,0.5390247134433181
0.29,0.8608695652173913,0.9852941176470589,0.096045197740113,0.5430213464696223
0.3,0.8640316205533597,0.9852941176470589,0.11864406779661017,0.5609978532113054
0.31,0.8640316205533597,0.9834558823529411,0.12994350282485875,0.5683073553220532
0.32,0.8640316205533597,0.9834558823529411,0.12994350282485875,0.5683073553220532
0.33,0.8640316205533597,0.9834558823529411,0.12994350282485875,0.5683073553220532
0.34,0.8632411067193676,0.9825367647058824,0.12994350282485875,0.5675931469307995
0.35,0.8632411067193676,0.9816176470588235,0.13559322033898305,0.5711351802605975
0.36,0.8640316205533597,0.9816176470588235,0.14124293785310735,0.5753509141724046
0.37,0.8640316205533597,0.9816176470588235,0.14124293785310735,0.5753509141724046
0.38,0.8640316205533597,0.9816176470588235,0.14124293785310735,0.5753509141724046
0.39,0.8648221343873518,0.9816176470588235,0.14689265536723164,0.5795308099156204
0.4,0.8656126482213439,0.9816176470588235,0.15254237288135594,0.5836753500185851
