gene,rf_importance
FEZF2,0.03228147510439395
PGA3,0.021081371988411913
PGA5,0.020730517588746854
CDH20,0.018955708851317393
CSN1S1,0.01807389584382941
FTMT,0.018003642357283474
SLC36A2,0.01718393421611604
AGXT,0.016695244642000638
OR10V1,0.01663648256424252
ACSM2A,0.014959911872050053
LALBA,0.014936289464100057
GABRA4,0.014517206075449653
GYS2,0.01444092089179
CPA1,0.014381622571390718
CARD18,0.014011547406279586
C16orf82,0.013906528968338473
PGA4,0.013858387121167912
FAM71A,0.01371357316033623
PRSS55,0.013538295980098697
MYH1,0.012403559548362118
AMY1A,0.012080477376959766
SPRY2,0.011730448305910683
CPA2,0.011567423950848477
MYH2,0.011324256815418432
CSN2,0.010967283443046648
FXYD1,0.010641767262952897
TMPRSS12,0.010469676677795508
CD300LG,0.010273523349530588
CNGB1,0.010159784326232758
MATN2,0.008528995517267195
APOB,0.00844584379878313
CTXN3,0.008213514448139232
LRRC3B,0.008171200223868193
LIPF,0.007997246785127613
BTNL9,0.00791565372138455
GKN1,0.007904626662126532
ADAMTS5,0.007861478242007874
SLITRK3,0.007816857700904735
NR1H4,0.007737308730989887
TMEM220,0.0074246132661104
MAMDC2,0.007352125100269779
CA4,0.006683041498685166
CST1,0.00631766219328858
PAMR1,0.006164910555813936
ITIH5,0.006086810358335041
GPC3,0.005920776251096663
SCN4B,0.005852788659644535
CAV1,0.005850028471395623
ADH4,0.005753478352154543
CLEC4M,0.005545108049349228
