model,accuracy,roc_auc,tumor_recall,normal_recall,macro_f1,threshold
"Baseline SVM (linear, all features)",0.7130434782608696,0.8494983798604188,0.7104779411764706,0.7288135593220338,0.6126535126011292,0.5
"Refined SVM (RBF, top-30, t=0.50)",0.733596837944664,0.8736394981721503,0.6994485294117647,0.943502824858757,0.6582421361740403,0.5
"Refined SVM (RBF, top-30, t=0.66 tuned)",0.8845849802371542,0.8736394981721503,0.9632352941176471,0.4011299435028249,0.7139675636832193,0.66
